Timestamp (seconds),Distance (mm),Button Pressed
1739135954.999,395,False
1739135955.395,395,False
1739135955.696,395,False
1739135955.997,395,False
1739135956.298,395,False
1739135956.599,395,False
1739135956.900,395,False
1739135957.201,395,False
1739135957.502,395,False
1739135957.803,395,False
1739135958.104,395,False
1739135958.405,395,False
1739135958.706,395,False
1739135959.006,395,False
1739135959.307,395,False
1739135959.608,395,False
1739135959.909,395,False
1739135960.211,395,False
1739135960.512,395,False
1739135960.813,395,False
1739135961.115,395,False
1739135961.416,395,False
1739135961.718,395,False
1739135962.019,395,False
1739135962.320,395,False
1739135962.621,395,False
1739135962.923,395,False
1739135963.224,395,False
1739135963.525,399,False
1739135963.827,395,False
1739135964.128,395,False
1739135964.429,395,False
1739135964.730,395,False
1739135965.032,395,False
1739135965.333,395,False
1739135965.634,395,False
1739135965.935,395,False
1739135966.237,395,False
1739135966.538,395,False
1739135966.839,395,False
1739135967.141,395,False
1739135967.442,395,False
1739135967.743,395,False
1739135968.045,395,False
1739135968.346,395,False
1739135968.647,395,False
1739135968.949,395,False
1739135969.250,395,False
1739135969.553,395,False
1739135969.856,395,False
1739135970.160,395,False
1739135970.463,395,False
1739135970.766,395,False
1739135971.069,395,False
1739135971.372,395,False
1739135971.675,395,False
1739135971.978,395,False
1739135972.281,395,False
1739135972.584,395,False
1739135972.887,395,False
1739135973.190,395,False
1739135973.492,395,False
1739135973.795,395,False
1739135974.097,395,True
1739135974.400,395,True
1739135974.702,394,True
1739135975.005,394,True
1739135975.307,395,False
1739135975.610,395,False
1739135975.912,395,True
1739135976.214,395,True
1739135976.516,395,True
1739135976.819,394,True
1739135977.121,394,True
1739135977.423,394,True
1739135977.726,394,False
1739135978.028,395,False
1739135978.330,395,False
1739135978.633,395,False
1739135978.935,395,False
1739135979.238,395,False
1739135979.540,395,False
1739135979.842,394,False
1739135980.145,395,False
1739135980.447,394,False
1739135980.749,394,False
1739135981.052,394,False
1739135981.354,394,False
1739135981.657,394,False
1739135981.959,394,False
1739135982.261,394,False
1739135982.564,394,False
1739135982.866,395,False
1739135983.168,394,False
1739135983.471,395,False
1739135984.358,394,False
1739135984.660,394,False
1739135984.963,394,False
1739135985.265,394,False
1739135985.568,394,False
1739135985.870,394,False
1739135986.172,394,False
1739135986.475,394,False
1739135986.777,394,False
1739135987.079,394,False
1739135987.382,394,False
1739135987.684,394,False
1739135987.987,394,False
1739135988.289,394,False
1739135988.592,394,False
1739135988.894,394,False
1739135989.755,394,False
1739135990.058,394,False
1739135990.360,394,False
1739135990.663,394,False
1739135990.965,394,False
1739135991.267,394,False
1739135991.570,394,False
1739135991.872,394,False
1739135992.175,394,False
1739135992.477,394,False
1739135992.779,394,False
1739135993.082,394,False
1739135993.384,394,False
1739135993.686,394,False
1739135993.989,394,False
1739135994.291,395,False
1739135994.593,394,False
1739135994.896,395,False
1739135995.198,394,False
1739135995.500,395,False
1739135995.803,395,False
1739135996.105,395,False
1739135996.408,395,False
1739135996.710,395,False
1739135997.012,395,False
1739135997.315,395,False
1739135997.617,395,False
1739135997.920,395,False
1739135998.222,395,False
1739135998.524,395,False
1739135998.827,395,False
1739135999.128,395,False
1739135999.430,394,False
1739135999.732,394,False
1739136000.033,394,False
1739136000.335,394,False
1739136000.636,394,False
1739136000.938,394,False
1739136001.239,394,False
1739136001.541,394,False
1739136001.842,398,False
1739136002.144,394,False
1739136002.446,394,False
1739136002.747,394,False
1739136003.049,394,False
1739136003.350,394,False
1739136003.652,394,False
1739136003.954,394,False
1739136004.257,394,False
1739136004.559,394,False
1739136004.861,394,False
1739136005.163,394,False
1739136005.466,394,False
1739136005.768,394,False
1739136006.070,394,False
1739136006.372,394,False
1739136006.674,394,True
1739136006.977,393,True
1739136007.279,393,True
1739136007.581,393,True
1739136007.883,394,True
1739136008.186,394,True
1739136008.488,393,True
1739136008.790,393,True
1739136009.092,393,False
1739136009.395,393,False
1739136009.697,393,False
1739136009.999,393,False
1739136010.302,393,False
1739136010.604,393,False
1739136010.906,394,False
1739136011.208,394,False
1739136011.511,394,False
1739136011.813,394,False
1739136012.115,394,False
1739136012.418,394,False
1739136012.720,394,False
1739136013.022,394,False
1739136013.324,394,False
1739136013.627,393,False
1739136013.929,393,False
1739136014.231,393,False
1739136014.534,393,False
1739136014.836,393,False
1739136015.138,393,False
1739136015.440,393,False
1739136015.743,393,False
1739136016.045,393,False
1739136016.921,393,False
1739136017.223,393,False
1739136017.526,393,False
1739136017.828,393,False
1739136018.130,393,False
1739136018.432,393,False
1739136018.735,393,False
1739136019.037,393,False
1739136019.339,393,False
1739136019.641,393,False
1739136019.943,394,False
1739136020.245,394,False
1739136020.546,394,False
1739136020.848,394,False
1739136021.149,394,False
1739136021.451,394,False
1739136021.752,394,False
1739136022.054,394,False
1739136022.355,394,False
1739136022.657,394,False
1739136022.959,394,False
1739136023.260,394,False
1739136023.562,394,False
1739136023.863,394,False
1739136024.165,394,False
1739136024.466,394,False
1739136024.768,394,False
1739136025.071,394,False
1739136025.373,394,False
1739136025.675,394,False
1739136025.977,394,False
1739136026.279,394,False
1739136026.581,394,False
1739136026.884,394,False
1739136027.186,394,False
1739136027.488,394,False
1739136027.791,394,False
1739136028.093,344,False
1739136028.395,344,False
1739136028.697,344,False
1739136028.999,250,False
1739136029.302,250,False
1739136029.604,250,False
1739136029.906,250,False
1739136030.208,250,False
1739136030.511,250,False
1739136030.813,250,False
1739136031.115,250,False
1739136031.417,250,False
1739136031.720,250,False
1739136032.022,250,False
1739136032.324,250,False
1739136032.626,250,False
1739136032.928,250,False
1739136033.231,250,False
1739136033.533,250,False
1739136033.835,250,False
1739136034.137,250,False
1739136034.439,250,False
1739136034.742,250,False
1739136035.044,250,False
1739136035.346,250,False
1739136035.648,250,False
1739136035.950,250,False
1739136036.252,250,False
1739136036.555,250,False
1739136036.857,250,False
1739136037.159,250,False
1739136037.461,250,False
1739136037.763,250,False
1739136038.065,250,False
1739136038.367,250,False
1739136038.670,250,False
1739136038.972,250,False
1739136039.274,250,False
1739136039.576,250,False
1739136039.878,250,False
1739136040.181,250,False
1739136040.483,250,False
1739136040.785,250,False
1739136041.087,250,False
1739136041.389,250,False
1739136041.691,250,False
1739136041.993,250,False
1739136042.296,250,False
1739136042.598,250,False
1739136042.900,250,False
1739136043.202,250,False
1739136043.504,250,False
1739136043.806,250,False
1739136044.108,250,False
1739136044.411,250,False
1739136044.713,250,False
1739136045.015,250,False
1739136045.317,250,False
1739136045.620,250,False
1739136045.922,250,False
1739136046.224,250,False
1739136046.526,250,False
1739136046.828,250,False
1739136047.130,250,False
1739136047.432,250,False
1739136047.734,250,False
1739136048.037,250,False
1739136048.339,250,False
1739136048.641,250,False
1739136048.943,250,False
1739136049.245,250,False
1739136049.547,250,False
1739136049.850,250,False
1739136050.152,250,False
1739136050.454,250,False
1739136050.756,250,False
1739136051.058,250,False
1739136051.360,250,False
1739136051.663,250,False
1739136051.965,250,False
1739136052.267,250,False
1739136052.569,250,False
1739136052.871,250,False
1739136053.173,250,False
1739136053.476,250,False
1739136053.778,250,False
1739136054.080,250,False
1739136054.382,250,False
1739136054.684,250,False
1739136054.986,250,False
1739136055.288,250,False
1739136055.590,250,False
1739136055.892,250,False
1739136056.195,250,False
1739136056.497,250,False
1739136056.799,250,False
1739136057.101,250,False
1739136057.403,250,False
1739136057.706,250,False
1739136058.008,250,False
1739136058.310,250,False
1739136058.612,250,False
1739136058.914,250,False
1739136059.216,250,False
1739136059.519,250,False
1739136059.821,250,False
1739136060.123,250,False
1739136060.425,250,False
1739136060.727,250,False
1739136061.029,250,False
1739136061.331,250,False
1739136061.634,250,False
1739136061.936,250,False
1739136062.238,250,False
1739136062.540,250,False
1739136062.842,250,False
1739136063.144,250,False
1739136063.446,250,False
1739136063.749,250,False
1739136064.051,250,False
1739136064.353,250,False
1739136064.655,250,False
1739136064.957,250,False
1739136065.259,250,False
1739136065.562,250,False
1739136065.864,250,False
1739136066.166,250,False
1739136066.468,250,False
1739136066.770,250,False
1739136067.072,250,False
1739136067.374,250,False
1739136067.677,250,False
1739136067.979,250,False
1739136068.281,250,False
1739136068.583,250,False
1739136068.885,250,False
1739136069.187,250,False
1739136069.489,250,False
1739136069.792,250,False
1739136070.094,250,False
1739136070.396,250,False
1739136070.698,250,False
1739136071.000,250,False
1739136071.302,250,False
1739136071.605,250,False
1739136071.907,250,False
1739136072.209,250,False
1739136072.511,250,False
1739136072.813,250,False
1739136073.115,250,False
1739136073.417,250,False
1739136073.719,250,False
1739136074.021,250,False
1739136074.324,250,False
1739136074.626,250,False
1739136074.928,250,False
1739136075.230,250,False
1739136075.533,250,False
1739136075.835,250,False
1739136076.137,250,False
1739136076.439,250,False
1739136076.741,250,False
1739136077.043,250,False
1739136077.345,250,False
1739136077.648,250,False
1739136077.950,250,False
1739136078.252,250,False
1739136078.554,250,False
1739136078.856,250,False
1739136079.158,250,False
1739136079.460,250,False
1739136079.763,250,False
1739136080.065,250,False
1739136080.367,250,False
1739136080.669,705,False
1739136080.971,250,False
1739136081.273,250,False
1739136081.576,1835,False
1739136081.878,1828,False
1739136082.180,1855,False
1739136082.482,4164,False
1739136082.784,1857,False
1739136083.087,4158,False
1739136083.389,1857,False
1739136083.691,1218,False
1739136083.993,2780,False
1739136084.295,1214,False
1739136084.598,250,False
1739136084.900,250,False
1739136085.202,250,False
1739136085.504,250,False
1739136085.807,1208,False
1739136086.109,1838,False
1739136086.411,1841,False
1739136086.714,1850,False
1739136087.016,1855,False
1739136087.318,776,False
1739136087.621,776,False
1739136087.923,776,False
1739136088.226,776,False
1739136088.528,776,False
1739136088.830,778,False
1739136089.133,773,False
1739136089.435,773,False
1739136089.738,773,False
1739136090.040,0,False
1739136090.342,0,False
1739136090.645,0,False
1739136090.947,0,False
1739136091.250,774,False
1739136091.552,589,False
1739136091.854,0,False
1739136092.157,0,False
1739136092.459,0,False
1739136092.762,250,False
1739136093.064,1832,False
1739136093.367,250,False
1739136093.669,250,False
1739136093.972,250,False
1739136094.274,250,False
1739136094.577,250,False
1739136094.880,250,False
1739136095.182,250,False
1739136095.485,250,False
1739136095.787,392,False
1739136096.090,0,False
1739136096.392,250,False
1739136096.695,250,False
1739136096.998,250,False
1739136097.300,250,False
1739136097.603,319,False
1739136097.905,250,False
1739136098.208,369,False
1739136098.511,322,False
1739136098.813,250,False
1739136099.116,250,False
1739136099.419,250,False
1739136099.721,250,False
1739136100.024,0,False
1739136100.327,0,False
1739136100.629,0,False
1739136100.932,0,False
1739136101.235,0,False
1739136101.537,250,False
1739136101.840,250,False
1739136102.143,250,False
1739136102.445,778,False
1739136102.748,778,False
1739136103.050,778,False
1739136103.353,779,False
1739136103.656,780,False
1739136103.958,792,False
1739136104.261,779,False
1739136104.564,788,False
1739136104.866,788,False
1739136105.169,297,False
1739136105.472,778,False
1739136105.775,477,False
1739136106.077,250,False
1739136106.380,250,False
1739136106.682,250,False
1739136106.985,1816,False
1739136107.287,254,False
1739136107.590,250,False
1739136107.893,250,False
1739136108.195,254,False
1739136108.498,1155,False
1739136108.801,250,False
1739136109.103,250,False
1739136109.406,250,False
1739136109.709,250,False
1739136110.011,883,False
1739136110.314,250,False
1739136110.617,250,False
1739136110.919,895,False
1739136111.222,250,False
1739136111.525,794,False
1739136111.827,772,False
1739136112.130,764,False
1739136112.432,764,False
1739136112.735,763,False
1739136113.037,763,False
1739136113.340,763,False
1739136113.643,760,False
1739136113.945,765,False
1739136114.248,765,False
1739136114.550,771,False
1739136114.853,776,False
1739136115.155,777,False
1739136115.458,1829,False
1739136115.760,1829,False
1739136116.063,1829,False
1739136116.365,1214,False
1739136116.668,783,False
1739136116.970,1209,False
1739136117.273,406,False
1739136117.576,1209,False
1739136117.878,787,False
1739136118.181,777,False
1739136118.484,780,False
1739136118.786,772,False
1739136119.089,769,False
1739136119.391,769,False
1739136119.694,769,False
1739136119.997,769,False
1739136120.299,769,False
1739136120.602,250,False
1739136120.905,776,False
1739136121.207,771,False
1739136121.510,766,False
1739136121.812,766,False
1739136122.115,765,False
1739136122.418,765,False
1739136122.720,765,False
1739136123.023,763,False
1739136123.325,771,False
1739136123.628,759,False
1739136123.931,926,False
1739136124.233,771,False
1739136124.536,766,False
1739136124.838,766,False
1739136125.141,766,False
1739136125.444,763,False
1739136125.746,250,False
1739136126.049,763,False
1739136126.352,768,False
1739136126.654,250,False
1739136126.957,250,False
1739136127.259,250,False
1739136127.562,250,False
1739136127.864,250,False
1739136128.167,250,False
1739136128.470,250,False
1739136128.772,250,False
1739136129.075,780,False
1739136129.377,1169,False
1739136129.680,779,False
1739136129.982,1169,False
1739136130.285,1169,False
1739136130.587,795,False
1739136130.890,304,False
1739136131.193,761,False
1739136131.495,762,False
1739136131.798,767,False
1739136132.101,767,False
1739136132.403,767,False
1739136132.706,767,False
1739136133.008,768,False
1739136133.311,768,False
1739136133.613,250,False
1739136133.916,250,False
1739136134.218,764,False
1739136134.521,772,False
1739136134.824,780,False
1739136135.126,779,False
1739136135.429,774,False
1739136135.732,250,False
1739136136.034,774,False
1739136136.337,1889,False
1739136136.640,250,False
1739136136.942,1890,False
1739136137.245,1896,False
1739136137.547,783,False
1739136137.850,789,False
1739136138.152,784,False
1739136138.455,789,False
1739136138.757,784,False
1739136139.060,784,False
1739136139.362,784,False
1739136139.665,784,False
1739136139.967,784,False
1739136140.270,784,False
1739136140.573,784,False
1739136140.875,784,False
1739136141.178,784,False
1739136141.480,784,False
1739136141.783,784,False
1739136142.085,784,False
1739136142.388,784,False
1739136142.690,784,False
1739136142.993,784,False
1739136143.295,784,False
1739136143.598,784,False
1739136143.900,784,False
1739136144.203,784,False
1739136144.505,784,False
1739136144.808,784,False
1739136145.110,784,False
1739136145.413,783,False
1739136145.715,783,False
1739136146.018,783,False
1739136146.320,783,False
1739136146.623,783,False
1739136146.925,783,False
1739136147.228,783,False
1739136147.531,783,False
1739136147.833,783,False
1739136148.136,783,False
1739136148.438,783,False
1739136148.740,783,False
1739136149.043,783,False
1739136149.345,783,False
1739136149.648,783,False
1739136149.950,783,False
1739136150.253,783,False
1739136150.555,783,False
1739136150.857,783,False
1739136151.160,783,False
1739136151.462,783,False
1739136151.765,783,False
1739136152.067,783,False
1739136152.370,783,False
1739136152.672,783,False
1739136152.974,783,False
1739136153.277,783,False
1739136153.579,783,False
1739136153.882,783,False
1739136154.184,783,False
1739136154.486,783,False
1739136154.788,783,False
1739136155.091,783,False
1739136155.393,783,False
1739136155.695,783,False
1739136155.998,783,False
1739136156.300,783,False
1739136156.602,783,False
1739136156.904,783,False
1739136157.207,783,False
1739136157.509,783,False
1739136157.811,783,False
1739136158.113,783,False
1739136158.416,783,False
1739136158.718,783,False
1739136159.020,783,False
1739136159.322,783,False
1739136159.625,783,False
1739136159.927,783,False
1739136160.229,783,False
1739136160.531,783,False
1739136160.833,783,False
1739136161.135,783,False
1739136161.437,783,False
1739136161.740,783,False
1739136162.042,783,False
1739136162.344,783,False
1739136162.646,783,False
1739136162.948,783,False
1739136163.251,783,False
1739136163.553,783,False
1739136163.855,783,False
1739136164.157,783,False
1739136164.459,783,False
1739136164.761,783,False
1739136165.063,783,False
1739136165.366,783,False
1739136165.668,783,False
1739136165.970,783,False
1739136166.272,783,False
1739136166.574,783,False
1739136166.876,783,False
1739136167.178,783,False
1739136167.481,783,False
1739136167.783,783,False
1739136168.085,783,False
1739136168.388,783,False
1739136168.690,783,False
1739136168.992,783,False
1739136169.294,783,False
1739136169.596,783,False
1739136169.898,783,False
1739136170.200,783,False
1739136170.502,783,False
1739136170.805,783,False
1739136171.107,783,False
1739136171.409,783,False
1739136171.711,783,False
1739136172.013,783,False
1739136172.315,783,False
1739136172.617,783,False
1739136172.919,783,False
1739136173.222,783,False
1739136173.524,783,False
1739136173.826,783,False
1739136174.128,783,False
1739136174.431,783,False
1739136174.733,783,False
1739136175.035,783,False
1739136175.337,783,False
1739136175.639,783,False
1739136175.941,783,False
1739136176.243,783,False
1739136176.546,783,False
1739136176.848,783,False
1739136177.150,783,False
1739136177.452,783,False
1739136177.754,783,False
1739136178.056,783,False
1739136178.359,783,False
1739136178.661,783,False
1739136178.963,783,False
1739136179.265,783,False
1739136179.567,783,False
1739136179.870,783,False
